NCT03377946	"Not Applicable	"
NCT03377088	"Not Applicable	"
NCT03373734	"Not Applicable	"
NCT03372707	"Not Applicable	"
NCT03366805	"Not Applicable	"
NCT03360279	"Not Applicable	"
NCT03359447	"Phase 4	"
NCT03354572	"Phase 4	"
NCT03348605	"Not Applicable	"
NCT03345615	"Not Applicable	"
NCT03340818	"Not Applicable	"
NCT03340051	"Not Applicable	"
NCT03337217	"Not Applicable	"
NCT03331965	"Phase 2	"
NCT03330509	"Not Applicable	"
NCT03327844	"Phase 2	"
NCT03324659	"Not Applicable	"
NCT03324516	"Not Applicable	"
NCT03324009	"Not Applicable	"
NCT03307070	"Not Applicable	"
NCT03303053	"Phase 3	"
NCT03302572	"Not Applicable	"
NCT03301831	"Not Applicable	"
NCT03298997	"Not Applicable	"
NCT03297151	"Not Applicable	"
NCT03275896	"Early Phase 1	"
NCT03274518	"Not Applicable	"
NCT03273699	"Not Applicable	"
NCT03256461	"Not Applicable	"
NCT03245853	"Phase 4	"
NCT03239808	"Not Applicable	"
NCT03238768	"Not Applicable	"
NCT03235739	"Phase 4	"
NCT03234569	"Not Applicable	"
NCT03230890	"Not Applicable	"
NCT03230656	"Not Applicable	"
NCT03227614	"Not Applicable	"
NCT03196349	"Phase 4	"
NCT03192020	"Phase 4	"
NCT03036592	"Not Applicable	"
NCT02948023	"Phase 1	"
NCT02814123	"Phase 2	"
NCT02724163	"Phase 3	"
NCT02479100	"Not Applicable	"
NCT03799237	"Not Applicable	"
NCT03759795	"Not Applicable	"
NCT03750409	"Not Applicable	"
NCT03736031	"Not Applicable	"
NCT03726437	"Not Applicable	"
NCT03706014	"Not Applicable	"
NCT03695679	"Not Applicable	"
NCT03669432	"Not Applicable	"
NCT03658941	"Not Applicable	"
NCT03657212	"Phase 4	"
NCT03648086	"Not Applicable	"
NCT03647449	"Not Applicable	"
NCT03635775	"Not Applicable	"
NCT02029937	"Phase 2	"
NCT03593356	"Not Applicable	"
NCT03588806	"Phase 4	"
NCT03588572	"Not Applicable	"
NCT03574376	"Phase 4	"
NCT03551860	"Not Applicable	"
NCT03532360	"Not Applicable	"
NCT03526484	"Not Applicable	"
NCT03523000	"Not Applicable	"
NCT03522974	"Not Applicable	"
NCT03522337	"Not Applicable	"
NCT03518255	"Not Applicable	"
NCT03517852	"Not Applicable	"
NCT03511443	"Not Applicable	"
NCT03505658	"Not Applicable	"
NCT03500172	"Not Applicable	"
NCT03481296	"Not Applicable	"
NCT03454308	"Not Applicable	"
NCT03437876	"Not Applicable	"
NCT03435588	"Not Applicable	"
NCT03426683	"Not Applicable	"
NCT03422159	"Phase 2	"
NCT03420846	"Not Applicable	"
NCT03383731	"Not Applicable	"
NCT03376685	"Not Applicable	"
NCT03376100	"Not Applicable	"
NCT03365609	"Not Applicable	"
NCT03360968	"Not Applicable	"
NCT03343431	"Phase 3	"
NCT03340103	"Not Applicable	"
NCT03338374	"Not Applicable	"
NCT03337971	"Not Applicable	"
NCT03336372	"Early Phase 1	"
NCT03326934	"Not Applicable	"
NCT03306173	"Not Applicable	"
NCT03287635	"Phase 4	"
NCT03265574	"Phase 3	"
NCT01785719	"Not Applicable	"
NCT03232554	"Phase 2	"
NCT01739933	"Phase 3	"
NCT03085784	"Phase 2	"
NCT03083366	"Not Applicable	"
NCT03009539	"Not Applicable	"
NCT02744768	"Phase 2	"
NCT01447628	"Phase 2	"
NCT02188121	"Phase 4	"
NCT03740243	"Phase 4	"
NCT03629496	"Not Applicable	"
NCT03622437	"Not Applicable	"
NCT03616639	"Phase 4	"
NCT03564080	"Not Applicable	"
NCT03544853	"Not Applicable	"
NCT03543774	"Phase 4	"
NCT03519568	"Phase 4	"
NCT03519087	"Not Applicable	"
NCT03440099	"Not Applicable	"
NCT03437811	"Not Applicable	"
NCT03423095	"Not Applicable	"
NCT03406039	"Not Applicable	"
NCT03397277	"Not Applicable	"
NCT03375580	"Not Applicable	"
NCT03373240	"Not Applicable	"
NCT03369145	"Not Applicable	"
NCT03337581	"Phase 4	"
NCT03335722	"Not Applicable	"
NCT03333473	"Not Applicable	"
NCT03331978	"Not Applicable	"
NCT03255707	"Not Applicable	"
NCT03208530	"Not Applicable	"
NCT02781064	"Phase 4	"
NCT03664934	"Not Applicable	"
NCT03584490	"Not Applicable	"
NCT03558828	"Not Applicable	"
NCT03556371	"Phase 2	"
NCT03529981	"Not Applicable	"
NCT03422562	"Phase 3	"
NCT03394495	"Not Applicable	"
NCT03304444	"Phase 3	"
NCT03686748	"Early Phase 1	"
NCT02018367	"Phase 2	"
NCT03538418	"Not Applicable	"
NCT03397160	"Not Applicable	"
NCT03388970	"Early Phase 1	"
NCT03376854	"Not Applicable	"
NCT03234543	"Not Applicable	"
NCT03230942	"Not Applicable	"
NCT02982772	"Phase 4	"
NCT02529644	"Not Applicable	"
NCT03326596	"Phase 4	"
NCT03543644	"Not Applicable	"
NCT03507400	"Not Applicable	"
NCT03286153	"Not Applicable	"
